is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,0,0,1,0,0,1,0,1,0,1,5,31.1
1,1,0,0,1,1,0,0,0,1,0,0,0,3,22.46
0,0,0,0,0,1,0,1,0,0,0,0,1,3,27.5
0,0,0,0,0,1,0,0,0,1,0,0,0,3,14.9
0,0,0,0,1,1,0,0,1,0,0,0,1,3,18.23
0,0,0,1,0,1,0,0,0,1,1,0,1,3,149.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,17.99
0,0,0,0,0,1,0,0,0,1,1,0,0,5,20.0
0,0,0,0,0,1,0,0,0,1,1,0,1,3,39.99
0,0,0,0,0,1,0,0,1,0,1,0,0,3,17.99
0,0,1,0,0,1,0,0,1,0,0,0,0,3,24.95
0,0,1,0,0,1,0,0,1,0,0,0,0,3,21.95
0,0,1,0,0,1,0,0,1,0,1,0,1,3,15.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,27.99
0,0,0,0,0,1,0,0,0,1,1,0,1,3,19.6
0,1,0,0,0,1,0,0,0,1,0,0,0,3,24.34
0,1,1,0,0,1,1,0,0,0,0,0,0,3,26.99
0,0,0,0,0,0,0,0,0,1,0,0,0,4,50.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,23.99
0,0,0,1,0,1,0,0,0,1,0,0,0,3,300.0
0,0,0,0,0,1,0,1,0,0,1,0,0,3,19.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,24.75
0,0,1,0,0,1,0,0,0,1,0,0,0,3,19.99
0,0,1,0,0,1,0,0,1,0,0,0,0,3,22.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,35.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,20.0
1,0,0,0,0,1,0,0,1,0,1,0,0,3,300.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,12.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,59.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,15.0
0,0,0,0,1,1,0,1,0,0,0,0,0,3,65.0
0,0,0,1,0,1,0,0,1,0,0,0,1,3,75.0
1,0,0,1,0,1,0,0,0,1,0,0,1,3,40.75
0,0,1,0,0,1,0,0,0,1,0,0,0,3,30.0
0,0,1,0,0,1,0,0,1,0,0,0,0,3,24.99
0,1,0,1,1,1,0,1,0,0,0,0,0,3,182.5
0,0,1,0,0,1,0,0,0,1,0,0,0,3,23.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,31.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,17.0
0,0,0,0,0,0,0,0,0,1,0,0,0,4,50.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,16.37
0,0,0,0,0,1,0,1,0,0,0,0,0,3,10.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,29.99
0,0,0,0,0,1,0,1,0,0,0,0,0,3,17.99
0,0,0,0,0,1,0,1,0,0,0,0,0,3,15.0
